client,income_tax
1,837673
2,3326868
3,3363563
4,3236373
5,4142937
6,3160532
7,4768938
8,1708525
9,2864610
10,3085674
11,2036493
12,4224843
13,894215
14,3573225
15,1954582
16,837569
17,1445017
18,4663577
19,4057068
20,2079624
21,2094853
22,219744
23,165026
24,4759611
25,4347130
26,2112270
27,1334942
28,1386787
29,4511784
30,222230
31,2583555
32,107123
33,268701
34,1731470
35,495830
36,423253
37,67215
38,1931239
39,3725134
40,1493536
41,3279661
42,2348668
43,3250999
44,2299713
45,4916320
46,2505832
47,3978285
48,894377
49,4443516
50,1350619
51,3969305
52,2235351
53,2898784
54,3182152
55,4288996
56,1538647
57,4155778
58,2847046
59,1540613
60,1780782
61,3728392
62,3106867
63,4275310
64,4670985
65,301400
66,2629733
67,1040436
68,3722438
69,4618802
70,4879967
71,1541874
72,980793
73,2677810
74,1353920
75,965907
76,968511
77,3691512
78,4798679
79,239623
80,1900205
81,3447198
82,3593328
83,3960940
84,918321
85,2567601
86,717261
87,2517918
88,2137143
89,4437795
90,1805392
91,4508432
92,4808962
93,4641827
94,1031610
95,3784761
96,4127911
97,446888
98,593152
99,808177
100,4350643
101,4167609
102,2189804
103,1763325
104,4874443
105,4303053
106,1047970
107,4506360
108,4210683
109,834433
110,3514324
111,1505748
112,2748255
113,526508
114,3266488
115,2058451
116,761315
117,1931003
118,1129482
119,2140205
120,2808808
121,2646674
122,504955
123,2147923
124,3311712
125,2976499
126,3997545
127,1530295
128,1968481
129,2633718
130,592497
131,2077360
132,4320153
133,3113210
134,990482
135,4815808
136,771615
137,866827
138,4922347
139,4784724
140,4393385
141,486949
142,267134
143,2427711
144,113751
145,2277531
146,3238508
147,4582760
148,3238518
149,3002740
150,353318
151,3071876
152,4861853
153,2570989
154,1843744
155,4404953
156,2099149
157,2636037
158,3876440
159,4837132
160,4171975
161,1443435
162,36741
163,459457
164,149518
165,2837183
166,2791375
167,1145079
168,1687375
169,2779274
170,3219240
171,932116
172,3288659
173,466905
174,3246304
175,858880
176,2473270
177,3299634
178,3734893
179,1846220
180,2401288
181,2337119
182,4690807
183,2965252
184,1474231
185,618019
186,3898911
187,3540802
188,3694709
189,415572
190,834367
191,1578113
192,4742345
193,4361630
194,573820
195,1241744
196,4989053
197,2403480
198,2180582
199,2978876
200,752024
201,3479848
202,4067011
203,3256960
204,126324
205,2457409
206,3821352
207,2607520
208,4773070
209,4799723
210,577963
211,2245828
212,4106310
213,1729402
214,2557420
215,4381707
216,579271
217,900886
218,139972
219,2070309
220,3000699
221,2708079
222,1778795
223,1143020
224,4582838
225,1363108
226,4705615
227,224196
228,3803252
229,2841265
230,4021675
231,2391387
232,1459699
233,2947170
234,614513
235,4881488
236,2458406
237,3110087
238,2152697
239,1870693
240,1597020
241,3632776
242,2785922
243,1606186
244,3378663
245,2040014
246,3814516
247,2696473
248,3057015
249,3222469
250,3414460
251,1427231
252,2703432
253,4331126
254,3034861
255,994370
256,980616
257,3155004
258,730143
259,3389511
260,3743903
261,4038341
262,848145
263,3282776
264,2883225
265,3076802
266,1370829
267,1516775
268,2067846
269,4922341
270,39134
271,1737334
272,4341875
273,4667535
274,3039227
